product_id,name,category,price,description
LP123,Laptop Pro,Electronics,1299.99,"A high-performance laptop for professionals."
WM456,Wireless Mouse,Electronics,25.50,"An ergonomic wireless mouse with long battery life."
NCH789,Noise-Cancelling Headphones,Electronics,199.99,"Immersive sound experience with active noise cancellation."
SCM001,Smart Coffee Mug,Home Goods,49.99,"A temperature-controlled smart mug."
YBC001,Yoga Mat,Fitness,35.00,"An eco-friendly, non-slip yoga mat."
TSB001,Classic Blue T-Shirt,Apparel,19.99,"A 100% cotton, classic fit blue t-shirt."
HDJ002,Denim Jacket,Apparel,89.99,"A stylish and durable denim jacket for all seasons."
SFN003,Sci-Fi Novel 'Galaxy's Edge',Books,15.99,"An epic space opera about adventure and discovery."
THB004,Thriller Novel 'The Final Hour',Books,14.50,"A gripping psychological thriller with a shocking twist."
CKB005,Cookbook 'Global Kitchen',Books,29.99,"A collection of recipes from around the world."
EKB006,Ergonomic Keyboard,Electronics,79.99,"A split-design ergonomic keyboard to reduce strain."
MON007,4K Ultra HD Monitor,Electronics,349.99,"A 27-inch 4K monitor with vibrant colors and sharp details."
WEB008,1080p Webcam,Electronics,59.99,"A high-definition webcam with a built-in microphone for clear video calls."
PRN009,All-in-One Printer,Electronics,149.99,"A wireless printer, scanner, and copier for home office use."
SSD010,1TB External SSD,Electronics,89.99,"A fast and portable solid-state drive for extra storage."
PBNK011,Portable Power Bank,Electronics,39.99,"A 20,000mAh power bank to charge your devices on the go."
SPK012,Bluetooth Speaker,Electronics,45.00,"A compact, waterproof bluetooth speaker with rich sound."
CUP013,Insulated Travel Tumbler,Home Goods,24.99,"A stainless steel tumbler that keeps drinks hot or cold for hours."
DIFF014,Essential Oil Diffuser,Home Goods,35.99,"An ultrasonic aroma diffuser with mood lighting."
PLNT015,Indoor Plant Pot Set,Home Goods,29.99,"A set of three modern ceramic pots for houseplants."
BTH016,Luxury Bath Towel Set,Home Goods,55.00,"A set of two oversized, absorbent, and soft bath towels."
CUT017,Chef's Knife,Home Goods,65.00,"A high-carbon stainless steel 8-inch chef's knife for all-purpose use."
BAM018,Bamboo Cutting Board,Home Goods,22.00,"A durable and eco-friendly bamboo cutting board."
FWB019,Fitness Water Bottle,Fitness,18.50,"A 32oz motivational water bottle with time markers."
RES020,Resistance Band Set,Fitness,15.99,"A set of five resistance loop bands for strength training."
JMP021,Adjustable Jump Rope,Fitness,12.99,"A high-speed jump rope with adjustable length for cardio workouts."
KTL022,15lb Kettlebell,Fitness,29.99,"A cast-iron kettlebell for strength and conditioning."
FTR023,Fitness Tracker,Fitness,99.00,"A wrist-worn fitness tracker that monitors steps, heart rate, and sleep."
HDS024,Graphic Hoodie,Apparel,45.00,"A soft fleece-lined hoodie with a unique graphic print."
SKS025,Athletic Socks (3-Pack),Apparel,14.99,"Cushioned, moisture-wicking athletic socks."
SNE026,Running Sneakers,Apparel,119.99,"Lightweight and supportive sneakers designed for road running."
HAT027,Baseball Cap,Apparel,24.00,"A classic, adjustable baseball cap with an embroidered logo."
SUN028,Polarized Sunglasses,Apparel,75.00,"Stylish sunglasses with 100% UV protection and polarized lenses."
MYS029,Mystery Novel 'The Silent Witness',Books,16.50,"A classic whodunnit mystery set in the English countryside."
BIO030,Biography of an Innovator,Books,21.00,"An inspiring biography of a famous tech entrepreneur."
HIS031,History of Ancient Civilizations,Books,24.95,"A comprehensive overview of the world's ancient empires."
POE032,Poetry Collection 'Urban Verses',Books,12.00,"A collection of modern poetry reflecting on city life."
